ts;n;bid;ask;value;volume;phase;round;active_id
1621236462000;11571438;154.081;154.101;154.091;0;T;True;3
1621236463000;11571439;154.081;154.101;154.091;0;T;True;3
1621236464000;11571440;154.081;154.101;154.091;0;T;True;3
1621236465000;11571441;154.081;154.101;154.091;0;T;True;3
1621236466000;11571442;154.081;154.101;154.091;0;T;True;3
1621236467000;11571443;154.081;154.101;154.091;0;T;True;3
1621236468000;11571444;154.081;154.101;154.091;0;T;True;3
1621236469000;11571445;154.081;154.101;154.091;0;T;True;3
1621236470000;11571446;154.081;154.101;154.091;0;T;True;3
1621236471000;11571447;154.081;154.101;154.091;0;T;True;3
1621236472000;11571450;154.075;154.095;154.085;2;T;True;3
1621236473000;11571451;154.075;154.095;154.085;0;T;True;3
1621236474000;11571452;154.075;154.095;154.085;0;T;True;3
1621236475000;11571455;154.077;154.097;154.087;2;T;True;3
1621236476000;11571456;154.077;154.097;154.087;0;T;True;3
1621236477000;11571459;154.074;154.094;154.084;2;T;True;3
1621236478000;11571462;154.077;154.097;154.087;2;T;True;3
1621236479000;11571464;154.079;154.099;154.089;1;T;True;3
1621236480000;11571467;154.081;154.101;154.091;2;T;True;3
1621236481000;11571468;154.081;154.101;154.091;0;T;True;3
1621236482000;11571472;154.075;154.095;154.085;3;T;True;3
1621236483000;11571474;154.073;154.093;154.083;1;T;True;3
1621236484000;11571476;154.075;154.095;154.085;1;T;True;3
1621236485000;11571477;154.075;154.095;154.085;0;T;True;3
1621236486000;11571478;154.075;154.095;154.085;0;T;True;3
1621236487000;11571479;154.075;154.095;154.085;0;T;True;3
1621236488000;11571481;154.077;154.097;154.087;1;T;True;3
1621236489000;11571483;154.075;154.095;154.085;1;T;True;3
1621236490000;11571484;154.075;154.095;154.085;0;T;True;3
1621236491000;11571485;154.075;154.095;154.085;0;T;True;3
1621236492000;11571486;154.075;154.095;154.085;0;T;True;3
1621236493000;11571487;154.075;154.095;154.085;0;T;True;3
1621236494000;11571488;154.075;154.095;154.085;0;T;True;3
