ts;n;bid;ask;value;volume;phase;round;active_id
1621238262000;11574993;153.962;153.982;153.972;1;T;True;3
1621238263000;11574996;153.953;153.973;153.963;2;T;True;3
1621238264000;11574998;153.952;153.972;153.962;1;T;True;3
1621238265000;11574999;153.952;153.972;153.962;0;T;True;3
1621238266000;11575000;153.952;153.972;153.962;0;T;True;3
1621238267000;11575003;153.948;153.968;153.958;2;T;True;3
1621238268000;11575004;153.948;153.968;153.958;0;T;True;3
1621238269000;11575006;153.949;153.969;153.959;1;T;True;3
1621238270000;11575007;153.949;153.969;153.959;0;T;True;3
1621238271000;11575008;153.949;153.969;153.959;0;T;True;3
1621238272000;11575009;153.949;153.969;153.959;0;T;True;3
1621238273000;11575016;153.941;153.961;153.951;6;T;True;3
1621238274000;11575017;153.941;153.961;153.951;0;T;True;3
1621238275000;11575019;153.939;153.959;153.949;1;T;True;3
1621238276000;11575020;153.939;153.959;153.949;0;T;True;3
1621238277000;11575022;153.934;153.954;153.944;1;T;True;3
1621238278000;11575024;153.933;153.953;153.943;1;T;True;3
1621238279000;11575025;153.933;153.953;153.943;0;T;True;3
1621238280000;11575026;153.933;153.953;153.943;0;T;True;3
1621238281000;11575030;153.945;153.965;153.955;3;T;True;3
1621238282000;11575034;153.943;153.963;153.953;3;T;True;3
1621238283000;11575035;153.943;153.963;153.953;0;T;True;3
1621238284000;11575036;153.943;153.963;153.953;0;T;True;3
1621238285000;11575040;153.945;153.965;153.955;3;T;True;3
1621238286000;11575042;153.944;153.964;153.954;1;T;True;3
1621238287000;11575046;153.951;153.971;153.961;3;T;True;3
1621238288000;11575050;153.952;153.972;153.962;3;T;True;3
1621238289000;11575052;153.951;153.971;153.961;1;T;True;3
1621238290000;11575053;153.951;153.971;153.961;0;T;True;3
1621238291000;11575054;153.951;153.971;153.961;0;T;True;3
1621238292000;11575061;153.949;153.969;153.959;6;T;True;3
1621238293000;11575064;153.949;153.969;153.959;2;T;True;3
1621238294000;11575066;153.947;153.967;153.957;1;T;True;3
1621238295000;11575068;153.945;153.965;153.955;1;T;True;3
1621238296000;11575069;153.945;153.965;153.955;0;T;True;3
1621238297000;11575070;153.945;153.965;153.955;0;T;True;3
1621238298000;11575071;153.945;153.965;153.955;0;T;True;3
1621238299000;11575073;153.943;153.963;153.953;1;T;True;3
1621238300000;11575074;153.943;153.963;153.953;0;T;True;3
1621238301000;11575075;153.943;153.963;153.953;0;T;True;3
1621238302000;11575076;153.943;153.963;153.953;0;T;True;3
1621238303000;11575078;153.941;153.961;153.951;1;T;True;3
1621238304000;11575080;153.942;153.962;153.952;1;T;True;3
1621238305000;11575082;153.941;153.961;153.951;1;T;True;3
1621238306000;11575087;153.949;153.969;153.959;4;T;True;3
1621238307000;11575088;153.949;153.969;153.959;0;T;True;3
1621238308000;11575090;153.947;153.967;153.957;1;T;True;3
1621238309000;11575094;153.95;153.97;153.96;3;T;True;3
1621238310000;11575095;153.95;153.97;153.96;0;T;True;3
1621238311000;11575097;153.949;153.969;153.959;1;T;True;3
1621238312000;11575098;153.949;153.969;153.959;0;T;True;3
