ts;n;bid;ask;value;volume;phase;round;active_id
1621218462000;11543278;153.972;153.992;153.982;0;T;True;3
1621218463000;11543280;153.973;153.993;153.983;1;T;True;3
1621218464000;11543281;153.973;153.993;153.983;0;T;True;3
1621218465000;11543282;153.973;153.993;153.983;0;T;True;3
1621218466000;11543283;153.973;153.993;153.983;0;T;True;3
1621218467000;11543284;153.973;153.993;153.983;0;T;True;3
1621218468000;11543285;153.973;153.993;153.983;0;T;True;3
1621218469000;11543286;153.973;153.993;153.983;0;T;True;3
1621218470000;11543287;153.973;153.993;153.983;0;T;True;3
1621218471000;11543288;153.973;153.993;153.983;0;T;True;3
1621218472000;11543289;153.973;153.993;153.983;0;T;True;3
1621218473000;11543290;153.973;153.993;153.983;0;T;True;3
1621218474000;11543292;153.975;153.995;153.985;1;T;True;3
1621218475000;11543293;153.975;153.995;153.985;0;T;True;3
1621218476000;11543294;153.975;153.995;153.985;0;T;True;3
1621218477000;11543295;153.975;153.995;153.985;0;T;True;3
1621218478000;11543296;153.975;153.995;153.985;0;T;True;3
1621218479000;11543297;153.975;153.995;153.985;0;T;True;3
1621218480000;11543298;153.975;153.995;153.985;0;T;True;3
1621218481000;11543300;153.974;153.994;153.984;1;T;True;3
1621218482000;11543302;153.973;153.993;153.983;1;T;True;3
1621218483000;11543303;153.973;153.993;153.983;0;T;True;3
1621218484000;11543307;153.977;153.997;153.987;3;T;True;3
1621218485000;11543308;153.977;153.997;153.987;0;T;True;3
1621218486000;11543309;153.977;153.997;153.987;0;T;True;3
1621218487000;11543311;153.975;153.995;153.985;1;T;True;3
1621218488000;11543312;153.975;153.995;153.985;0;T;True;3
1621218489000;11543314;153.974;153.994;153.984;1;T;True;3
1621218490000;11543315;153.974;153.994;153.984;0;T;True;3
1621218491000;11543316;153.974;153.994;153.984;0;T;True;3
1621218492000;11543317;153.974;153.994;153.984;0;T;True;3
1621218493000;11543318;153.974;153.994;153.984;0;T;True;3
1621218494000;11543321;153.977;153.997;153.987;2;T;True;3
1621218495000;11543324;153.975;153.995;153.985;2;T;True;3
1621218496000;11543325;153.975;153.995;153.985;0;T;True;3
1621218497000;11543327;153.976;153.996;153.986;1;T;True;3
1621218498000;11543328;153.976;153.996;153.986;0;T;True;3
1621218499000;11543331;153.979;153.999;153.989;2;T;True;3
