ts;n;bid;ask;value;volume;phase;round;active_id
1621254462000;11602805;153.813;153.833;153.823;0;T;True;3
1621254463000;11602806;153.813;153.833;153.823;0;T;True;3
1621254464000;11602808;153.815;153.835;153.825;1;T;True;3
1621254465000;11602811;153.817;153.837;153.827;2;T;True;3
1621254466000;11602813;153.819;153.839;153.829;1;T;True;3
1621254467000;11602814;153.819;153.839;153.829;0;T;True;3
1621254468000;11602815;153.819;153.839;153.829;0;T;True;3
1621254469000;11602816;153.819;153.839;153.829;0;T;True;3
1621254470000;11602818;153.822;153.842;153.832;1;T;True;3
1621254471000;11602820;153.827;153.847;153.837;1;T;True;3
1621254472000;11602823;153.824;153.844;153.834;2;T;True;3
1621254473000;11602826;153.823;153.843;153.833;2;T;True;3
1621254474000;11602828;153.821;153.841;153.831;1;T;True;3
1621254475000;11602829;153.821;153.841;153.831;0;T;True;3
1621254476000;11602830;153.821;153.841;153.831;0;T;True;3
1621254477000;11602832;153.82;153.84;153.83;1;T;True;3
1621254478000;11602834;153.821;153.841;153.831;1;T;True;3
1621254479000;11602835;153.821;153.841;153.831;0;T;True;3
1621254480000;11602841;153.835;153.855;153.845;5;T;True;3
1621254481000;11602843;153.836;153.856;153.846;1;T;True;3
1621254482000;11602844;153.836;153.856;153.846;0;T;True;3
1621254483000;11602845;153.836;153.856;153.846;0;T;True;3
1621254484000;11602847;153.837;153.857;153.847;1;T;True;3
1621254485000;11602848;153.837;153.857;153.847;0;T;True;3
1621254486000;11602850;153.836;153.856;153.846;1;T;True;3
1621254487000;11602853;153.833;153.853;153.843;2;T;True;3
1621254488000;11602856;153.831;153.851;153.841;2;T;True;3
1621254489000;11602859;153.831;153.851;153.841;2;T;True;3
1621254490000;11602863;153.833;153.853;153.843;3;T;True;3
1621254491000;11602865;153.832;153.852;153.842;1;T;True;3
1621254492000;11602868;153.829;153.849;153.839;2;T;True;3
1621254493000;11602870;153.831;153.851;153.841;1;T;True;3
1621254494000;11602871;153.831;153.851;153.841;0;T;True;3
1621254495000;11602873;153.825;153.845;153.835;1;T;True;3
1621254496000;11602875;153.824;153.844;153.834;1;T;True;3
1621254497000;11602876;153.824;153.844;153.834;0;T;True;3
1621254498000;11602880;153.828;153.848;153.838;3;T;True;3
1621254499000;11602883;153.828;153.848;153.838;2;T;True;3
1621254500000;11602892;153.844;153.864;153.854;8;T;True;3
1621254501000;11602893;153.844;153.864;153.854;0;T;True;3
1621254502000;11602895;153.843;153.863;153.853;1;T;True;3
1621254503000;11602897;153.846;153.866;153.856;1;T;True;3
1621254504000;11602901;153.848;153.868;153.858;3;T;True;3
1621254505000;11602903;153.847;153.867;153.857;1;T;True;3
1621254506000;11602904;153.847;153.867;153.857;0;T;True;3
1621254507000;11602908;153.851;153.871;153.861;3;T;True;3
1621254508000;11602909;153.851;153.871;153.861;0;T;True;3
1621254509000;11602911;153.853;153.873;153.863;1;T;True;3
