ts;n;bid;ask;value;volume;phase;round;active_id
1621252662000;11599471;153.885;153.905;153.895;2;T;True;3
1621252663000;11599472;153.885;153.905;153.895;0;T;True;3
1621252664000;11599474;153.886;153.906;153.896;1;T;True;3
1621252665000;11599475;153.886;153.906;153.896;0;T;True;3
1621252666000;11599476;153.886;153.906;153.896;0;T;True;3
1621252667000;11599479;153.889;153.909;153.899;2;T;True;3
1621252668000;11599481;153.891;153.911;153.901;1;T;True;3
1621252669000;11599482;153.891;153.911;153.901;0;T;True;3
1621252670000;11599484;153.895;153.915;153.905;1;T;True;3
1621252671000;11599485;153.895;153.915;153.905;0;T;True;3
1621252672000;11599486;153.895;153.915;153.905;0;T;True;3
1621252673000;11599489;153.889;153.909;153.899;2;T;True;3
1621252674000;11599493;153.884;153.904;153.894;3;T;True;3
1621252675000;11599495;153.885;153.905;153.895;1;T;True;3
1621252676000;11599496;153.885;153.905;153.895;0;T;True;3
1621252677000;11599498;153.884;153.904;153.894;1;T;True;3
1621252678000;11599500;153.883;153.903;153.893;1;T;True;3
1621252679000;11599501;153.883;153.903;153.893;0;T;True;3
1621252680000;11599502;153.883;153.903;153.893;0;T;True;3
1621252681000;11599504;153.884;153.904;153.894;1;T;True;3
1621252682000;11599505;153.884;153.904;153.894;0;T;True;3
1621252683000;11599507;153.883;153.903;153.893;1;T;True;3
1621252684000;11599509;153.884;153.904;153.894;1;T;True;3
1621252685000;11599511;153.885;153.905;153.895;1;T;True;3
1621252686000;11599513;153.883;153.903;153.893;1;T;True;3
1621252687000;11599514;153.883;153.903;153.893;0;T;True;3
1621252688000;11599516;153.881;153.901;153.891;1;T;True;3
1621252689000;11599517;153.881;153.901;153.891;0;T;True;3
1621252690000;11599518;153.881;153.901;153.891;0;T;True;3
1621252691000;11599519;153.881;153.901;153.891;0;T;True;3
1621252692000;11599520;153.881;153.901;153.891;0;T;True;3
1621252693000;11599523;153.881;153.901;153.891;2;T;True;3
1621252694000;11599524;153.881;153.901;153.891;0;T;True;3
1621252695000;11599525;153.881;153.901;153.891;0;T;True;3
1621252696000;11599526;153.881;153.901;153.891;0;T;True;3
1621252697000;11599528;153.88;153.9;153.89;1;T;True;3
1621252698000;11599529;153.88;153.9;153.89;0;T;True;3
1621252699000;11599530;153.88;153.9;153.89;0;T;True;3
1621252700000;11599531;153.88;153.9;153.89;0;T;True;3
1621252701000;11599532;153.88;153.9;153.89;0;T;True;3
1621252702000;11599533;153.88;153.9;153.89;0;T;True;3
1621252703000;11599534;153.88;153.9;153.89;0;T;True;3
1621252704000;11599536;153.881;153.901;153.891;1;T;True;3
1621252705000;11599537;153.881;153.901;153.891;0;T;True;3
1621252706000;11599538;153.881;153.901;153.891;0;T;True;3
1621252707000;11599539;153.881;153.901;153.891;0;T;True;3
1621252708000;11599540;153.881;153.901;153.891;0;T;True;3
1621252709000;11599541;153.881;153.901;153.891;0;T;True;3
1621252710000;11599542;153.881;153.901;153.891;0;T;True;3
1621252711000;11599543;153.881;153.901;153.891;0;T;True;3
1621252712000;11599544;153.881;153.901;153.891;0;T;True;3
1621252713000;11599545;153.881;153.901;153.891;0;T;True;3
1621252714000;11599546;153.881;153.901;153.891;0;T;True;3
1621252715000;11599547;153.881;153.901;153.891;0;T;True;3
1621252716000;11599548;153.881;153.901;153.891;0;T;True;3
1621252717000;11599553;153.892;153.912;153.902;4;T;True;3
1621252718000;11599554;153.892;153.912;153.902;0;T;True;3
1621252719000;11599555;153.892;153.912;153.902;0;T;True;3
1621252720000;11599556;153.892;153.912;153.902;0;T;True;3
1621252721000;11599557;153.892;153.912;153.902;0;T;True;3
1621252722000;11599558;153.892;153.912;153.902;0;T;True;3
1621252723000;11599559;153.892;153.912;153.902;0;T;True;3
1621252724000;11599560;153.892;153.912;153.902;0;T;True;3
1621252725000;11599561;153.892;153.912;153.902;0;T;True;3
1621252726000;11599562;153.892;153.912;153.902;0;T;True;3
1621252727000;11599563;153.892;153.912;153.902;0;T;True;3
1621252728000;11599564;153.892;153.912;153.902;0;T;True;3
1621252729000;11599566;153.893;153.913;153.903;1;T;True;3
1621252730000;11599567;153.893;153.913;153.903;0;T;True;3
1621252731000;11599569;153.891;153.911;153.901;1;T;True;3
1621252732000;11599570;153.891;153.911;153.901;0;T;True;3
1621252733000;11599571;153.891;153.911;153.901;0;T;True;3
1621252734000;11599572;153.891;153.911;153.901;0;T;True;3
1621252735000;11599573;153.891;153.911;153.901;0;T;True;3
1621252736000;11599576;153.895;153.915;153.905;2;T;True;3
1621252737000;11599579;153.899;153.919;153.909;2;T;True;3
1621252738000;11599582;153.903;153.923;153.913;2;T;True;3
1621252739000;11599584;153.905;153.925;153.915;1;T;True;3
1621252740000;11599585;153.905;153.925;153.915;0;T;True;3
1621252741000;11599586;153.905;153.925;153.915;0;T;True;3
1621252742000;11599588;153.903;153.923;153.913;1;T;True;3
1621252743000;11599591;153.901;153.921;153.911;2;T;True;3
1621252744000;11599595;153.899;153.919;153.909;3;T;True;3
1621252745000;11599598;153.903;153.923;153.913;2;T;True;3
1621252746000;11599602;153.899;153.919;153.909;3;T;True;3
1621252747000;11599603;153.899;153.919;153.909;0;T;True;3
1621252748000;11599604;153.899;153.919;153.909;0;T;True;3
1621252749000;11599606;153.901;153.921;153.911;1;T;True;3
1621252750000;11599607;153.901;153.921;153.911;0;T;True;3
1621252751000;11599609;153.9;153.92;153.91;1;T;True;3
1621252752000;11599610;153.9;153.92;153.91;0;T;True;3
1621252753000;11599611;153.9;153.92;153.91;0;T;True;3
1621252754000;11599612;153.9;153.92;153.91;0;T;True;3
1621252755000;11599613;153.9;153.92;153.91;0;T;True;3
1621252756000;11599614;153.9;153.92;153.91;0;T;True;3
1621252757000;11599619;153.877;153.897;153.887;4;T;True;3
1621252758000;11599623;153.869;153.889;153.879;3;T;True;3
1621252759000;11599625;153.867;153.887;153.877;1;T;True;3
1621252760000;11599627;153.869;153.889;153.879;1;T;True;3
1621252761000;11599629;153.867;153.887;153.877;1;T;True;3
1621252762000;11599630;153.867;153.887;153.877;0;T;True;3
1621252763000;11599632;153.869;153.889;153.879;1;T;True;3
1621252764000;11599633;153.869;153.889;153.879;0;T;True;3
1621252765000;11599635;153.87;153.89;153.88;1;T;True;3
1621252766000;11599636;153.87;153.89;153.88;0;T;True;3
1621252767000;11599637;153.87;153.89;153.88;0;T;True;3
1621252768000;11599639;153.871;153.891;153.881;1;T;True;3
1621252769000;11599640;153.871;153.891;153.881;0;T;True;3
1621252770000;11599646;153.874;153.894;153.884;5;T;True;3
1621252771000;11599648;153.875;153.895;153.885;1;T;True;3
1621252772000;11599649;153.875;153.895;153.885;0;T;True;3
1621252773000;11599652;153.873;153.893;153.883;2;T;True;3
1621252774000;11599653;153.873;153.893;153.883;0;T;True;3
1621252775000;11599654;153.873;153.893;153.883;0;T;True;3
1621252776000;11599655;153.873;153.893;153.883;0;T;True;3
1621252777000;11599658;153.873;153.893;153.883;2;T;True;3
1621252778000;11599659;153.873;153.893;153.883;0;T;True;3
1621252779000;11599663;153.871;153.891;153.881;3;T;True;3
1621252780000;11599664;153.871;153.891;153.881;0;T;True;3
1621252781000;11599668;153.873;153.893;153.883;3;T;True;3
1621252782000;11599670;153.872;153.892;153.882;1;T;True;3
1621252783000;11599671;153.872;153.892;153.882;0;T;True;3
1621252784000;11599672;153.872;153.892;153.882;0;T;True;3
1621252785000;11599674;153.869;153.889;153.879;1;T;True;3
1621252786000;11599675;153.869;153.889;153.879;0;T;True;3
1621252787000;11599678;153.865;153.885;153.875;2;T;True;3
1621252788000;11599679;153.865;153.885;153.875;0;T;True;3
1621252789000;11599686;153.852;153.872;153.862;6;T;True;3
1621252790000;11599687;153.852;153.872;153.862;0;T;True;3
1621252791000;11599691;153.859;153.879;153.869;3;T;True;3
1621252792000;11599694;153.863;153.883;153.873;2;T;True;3
1621252793000;11599695;153.863;153.883;153.873;0;T;True;3
1621252794000;11599700;153.864;153.884;153.874;4;T;True;3
1621252795000;11599702;153.865;153.885;153.875;1;T;True;3
1621252796000;11599709;153.876;153.896;153.886;6;T;True;3
1621252797000;11599714;153.885;153.905;153.895;4;T;True;3
1621252798000;11599719;153.881;153.901;153.891;4;T;True;3
1621252799000;11599723;153.883;153.903;153.893;3;T;True;3
1621252800000;11599725;153.881;153.901;153.891;1;T;True;3
1621252801000;11599732;153.886;153.906;153.896;6;T;True;3
1621252802000;11599736;153.877;153.897;153.887;3;T;True;3
1621252803000;11599737;153.877;153.897;153.887;0;T;True;3
1621252804000;11599739;153.869;153.889;153.879;1;T;True;3
1621252805000;11599740;153.869;153.889;153.879;0;T;True;3
1621252806000;11599743;153.869;153.889;153.879;2;T;True;3
1621252807000;11599744;153.869;153.889;153.879;0;T;True;3
1621252808000;11599746;153.867;153.887;153.877;1;T;True;3
1621252809000;11599748;153.866;153.886;153.876;1;T;True;3
1621252810000;11599749;153.866;153.886;153.876;0;T;True;3
1621252811000;11599754;153.875;153.895;153.885;4;T;True;3
1621252812000;11599760;153.871;153.891;153.881;5;T;True;3
1621252813000;11599762;153.872;153.892;153.882;1;T;True;3
1621252814000;11599764;153.869;153.889;153.879;1;T;True;3
1621252815000;11599769;153.863;153.883;153.873;4;T;True;3
1621252816000;11599772;153.855;153.875;153.865;2;T;True;3
1621252817000;11599773;153.855;153.875;153.865;0;T;True;3
1621252818000;11599774;153.855;153.875;153.865;0;T;True;3
1621252819000;11599775;153.855;153.875;153.865;0;T;True;3
1621252820000;11599777;153.854;153.874;153.864;1;T;True;3
1621252821000;11599779;153.853;153.873;153.863;1;T;True;3
1621252822000;11599782;153.851;153.871;153.861;2;T;True;3
1621252823000;11599785;153.844;153.864;153.854;2;T;True;3
1621252824000;11599788;153.845;153.865;153.855;2;T;True;3
1621252825000;11599792;153.842;153.862;153.852;3;T;True;3
1621252826000;11599796;153.84;153.86;153.85;3;T;True;3
1621252827000;11599801;153.833;153.853;153.843;4;T;True;3
1621252828000;11599802;153.833;153.853;153.843;0;T;True;3
1621252829000;11599803;153.833;153.853;153.843;0;T;True;3
1621252830000;11599805;153.831;153.851;153.841;1;T;True;3
1621252831000;11599806;153.831;153.851;153.841;0;T;True;3
1621252832000;11599808;153.833;153.853;153.843;1;T;True;3
1621252833000;11599809;153.833;153.853;153.843;0;T;True;3
1621252834000;11599810;153.833;153.853;153.843;0;T;True;3
1621252835000;11599811;153.833;153.853;153.843;0;T;True;3
1621252836000;11599812;153.833;153.853;153.843;0;T;True;3
1621252837000;11599813;153.833;153.853;153.843;0;T;True;3
1621252838000;11599816;153.836;153.856;153.846;2;T;True;3
1621252839000;11599819;153.837;153.857;153.847;2;T;True;3
1621252840000;11599821;153.835;153.855;153.845;1;T;True;3
1621252841000;11599825;153.831;153.851;153.841;3;T;True;3
1621252842000;11599827;153.833;153.853;153.843;1;T;True;3
1621252843000;11599830;153.829;153.849;153.839;2;T;True;3
1621252844000;11599831;153.829;153.849;153.839;0;T;True;3
1621252845000;11599832;153.829;153.849;153.839;0;T;True;3
1621252846000;11599835;153.835;153.855;153.845;2;T;True;3
1621252847000;11599836;153.835;153.855;153.845;0;T;True;3
1621252848000;11599837;153.835;153.855;153.845;0;T;True;3
1621252849000;11599838;153.835;153.855;153.845;0;T;True;3
1621252850000;11599839;153.835;153.855;153.845;0;T;True;3
1621252851000;11599840;153.835;153.855;153.845;0;T;True;3
1621252852000;11599841;153.835;153.855;153.845;0;T;True;3
1621252853000;11599842;153.835;153.855;153.845;0;T;True;3
1621252854000;11599843;153.835;153.855;153.845;0;T;True;3
1621252855000;11599845;153.837;153.857;153.847;1;T;True;3
1621252856000;11599849;153.844;153.864;153.854;3;T;True;3
1621252857000;11599851;153.843;153.863;153.853;1;T;True;3
1621252858000;11599852;153.843;153.863;153.853;0;T;True;3
1621252859000;11599853;153.843;153.863;153.853;0;T;True;3
1621252860000;11599854;153.843;153.863;153.853;0;T;True;3
1621252861000;11599855;153.843;153.863;153.853;0;T;True;3
1621252862000;11599861;153.851;153.871;153.861;5;T;True;3
1621252863000;11599864;153.845;153.865;153.855;2;T;True;3
1621252864000;11599865;153.845;153.865;153.855;0;T;True;3
1621252865000;11599866;153.845;153.865;153.855;0;T;True;3
1621252866000;11599867;153.845;153.865;153.855;0;T;True;3
1621252867000;11599868;153.845;153.865;153.855;0;T;True;3
1621252868000;11599871;153.843;153.863;153.853;2;T;True;3
1621252869000;11599879;153.853;153.873;153.863;7;T;True;3
1621252870000;11599881;153.851;153.871;153.861;1;T;True;3
1621252871000;11599884;153.849;153.869;153.859;2;T;True;3
1621252872000;11599885;153.849;153.869;153.859;0;T;True;3
1621252873000;11599887;153.848;153.868;153.858;1;T;True;3
1621252874000;11599888;153.848;153.868;153.858;0;T;True;3
1621252875000;11599891;153.845;153.865;153.855;2;T;True;3
1621252876000;11599894;153.845;153.865;153.855;2;T;True;3
1621252877000;11599895;153.845;153.865;153.855;0;T;True;3
1621252878000;11599897;153.847;153.867;153.857;1;T;True;3
1621252879000;11599899;153.849;153.869;153.859;1;T;True;3
1621252880000;11599902;153.846;153.866;153.856;2;T;True;3
1621252881000;11599903;153.846;153.866;153.856;0;T;True;3
1621252882000;11599904;153.846;153.866;153.856;0;T;True;3
1621252883000;11599906;153.845;153.865;153.855;1;T;True;3
1621252884000;11599907;153.845;153.865;153.855;0;T;True;3
1621252885000;11599908;153.845;153.865;153.855;0;T;True;3
1621252886000;11599909;153.845;153.865;153.855;0;T;True;3
1621252887000;11599910;153.845;153.865;153.855;0;T;True;3
1621252888000;11599914;153.835;153.855;153.845;3;T;True;3
1621252889000;11599916;153.833;153.853;153.843;1;T;True;3
1621252890000;11599917;153.833;153.853;153.843;0;T;True;3
1621252891000;11599918;153.833;153.853;153.843;0;T;True;3
1621252892000;11599919;153.833;153.853;153.843;0;T;True;3
1621252893000;11599920;153.833;153.853;153.843;0;T;True;3
1621252894000;11599921;153.833;153.853;153.843;0;T;True;3
1621252895000;11599922;153.833;153.853;153.843;0;T;True;3
1621252896000;11599925;153.837;153.857;153.847;2;T;True;3
1621252897000;11599926;153.837;153.857;153.847;0;T;True;3
1621252898000;11599927;153.837;153.857;153.847;0;T;True;3
1621252899000;11599928;153.837;153.857;153.847;0;T;True;3
1621252900000;11599929;153.837;153.857;153.847;0;T;True;3
1621252901000;11599932;153.843;153.863;153.853;2;T;True;3
1621252902000;11599934;153.844;153.864;153.854;1;T;True;3
1621252903000;11599940;153.844;153.864;153.854;5;T;True;3
1621252904000;11599941;153.844;153.864;153.854;0;T;True;3
1621252905000;11599942;153.844;153.864;153.854;0;T;True;3
1621252906000;11599943;153.844;153.864;153.854;0;T;True;3
1621252907000;11599944;153.844;153.864;153.854;0;T;True;3
1621252908000;11599947;153.841;153.861;153.851;2;T;True;3
1621252909000;11599948;153.841;153.861;153.851;0;T;True;3
1621252910000;11599949;153.841;153.861;153.851;0;T;True;3
1621252911000;11599952;153.841;153.861;153.851;2;T;True;3
1621252912000;11599953;153.841;153.861;153.851;0;T;True;3
1621252913000;11599956;153.841;153.861;153.851;2;T;True;3
1621252914000;11599957;153.841;153.861;153.851;0;T;True;3
1621252915000;11599958;153.841;153.861;153.851;0;T;True;3
1621252916000;11599959;153.841;153.861;153.851;0;T;True;3
1621252917000;11599960;153.841;153.861;153.851;0;T;True;3
1621252918000;11599961;153.841;153.861;153.851;0;T;True;3
1621252919000;11599963;153.839;153.859;153.849;1;T;True;3
1621252920000;11599964;153.839;153.859;153.849;0;T;True;3
1621252921000;11599965;153.839;153.859;153.849;0;T;True;3
1621252922000;11599966;153.839;153.859;153.849;0;T;True;3
1621252923000;11599967;153.839;153.859;153.849;0;T;True;3
1621252924000;11599968;153.839;153.859;153.849;0;T;True;3
1621252925000;11599970;153.841;153.861;153.851;1;T;True;3
1621252926000;11599971;153.841;153.861;153.851;0;T;True;3
1621252927000;11599973;153.843;153.863;153.853;1;T;True;3
1621252928000;11599974;153.843;153.863;153.853;0;T;True;3
1621252929000;11599975;153.843;153.863;153.853;0;T;True;3
1621252930000;11599976;153.843;153.863;153.853;0;T;True;3
1621252931000;11599977;153.843;153.863;153.853;0;T;True;3
1621252932000;11599978;153.843;153.863;153.853;0;T;True;3
1621252933000;11599979;153.843;153.863;153.853;0;T;True;3
1621252934000;11599980;153.843;153.863;153.853;0;T;True;3
1621252935000;11599981;153.843;153.863;153.853;0;T;True;3
1621252936000;11599982;153.843;153.863;153.853;0;T;True;3
1621252937000;11599983;153.843;153.863;153.853;0;T;True;3
1621252938000;11599984;153.843;153.863;153.853;0;T;True;3
1621252939000;11599986;153.847;153.867;153.857;1;T;True;3
1621252940000;11599989;153.845;153.865;153.855;2;T;True;3
1621252941000;11599990;153.845;153.865;153.855;0;T;True;3
1621252942000;11599991;153.845;153.865;153.855;0;T;True;3
1621252943000;11599992;153.845;153.865;153.855;0;T;True;3
1621252944000;11599993;153.845;153.865;153.855;0;T;True;3
1621252945000;11599994;153.845;153.865;153.855;0;T;True;3
1621252946000;11599996;153.846;153.866;153.856;1;T;True;3
1621252947000;11599997;153.846;153.866;153.856;0;T;True;3
1621252948000;11599998;153.846;153.866;153.856;0;T;True;3
1621252949000;11599999;153.846;153.866;153.856;0;T;True;3
1621252950000;11600000;153.846;153.866;153.856;0;T;True;3
1621252951000;11600002;153.847;153.867;153.857;1;T;True;3
1621252952000;11600005;153.847;153.867;153.857;2;T;True;3
1621252953000;11600008;153.848;153.868;153.858;2;T;True;3
1621252954000;11600009;153.848;153.868;153.858;0;T;True;3
1621252955000;11600010;153.848;153.868;153.858;0;T;True;3
1621252956000;11600011;153.848;153.868;153.858;0;T;True;3
1621252957000;11600012;153.848;153.868;153.858;0;T;True;3
1621252958000;11600014;153.847;153.867;153.857;1;T;True;3
1621252959000;11600016;153.848;153.868;153.858;1;T;True;3
1621252960000;11600020;153.856;153.876;153.866;3;T;True;3
1621252961000;11600021;153.856;153.876;153.866;0;T;True;3
1621252962000;11600026;153.863;153.883;153.873;4;T;True;3
1621252963000;11600027;153.863;153.883;153.873;0;T;True;3
1621252964000;11600029;153.866;153.886;153.876;1;T;True;3
1621252965000;11600030;153.866;153.886;153.876;0;T;True;3
1621252966000;11600031;153.866;153.886;153.876;0;T;True;3
1621252967000;11600033;153.867;153.887;153.877;1;T;True;3
1621252968000;11600036;153.863;153.883;153.873;2;T;True;3
1621252969000;11600037;153.863;153.883;153.873;0;T;True;3
1621252970000;11600039;153.86;153.88;153.87;1;T;True;3
1621252971000;11600040;153.86;153.88;153.87;0;T;True;3
1621252972000;11600041;153.86;153.88;153.87;0;T;True;3
1621252973000;11600042;153.86;153.88;153.87;0;T;True;3
1621252974000;11600044;153.861;153.881;153.871;1;T;True;3
1621252975000;11600045;153.861;153.881;153.871;0;T;True;3
1621252976000;11600047;153.863;153.883;153.873;1;T;True;3
1621252977000;11600048;153.863;153.883;153.873;0;T;True;3
1621252978000;11600052;153.871;153.891;153.881;3;T;True;3
1621252979000;11600053;153.871;153.891;153.881;0;T;True;3
1621252980000;11600054;153.871;153.891;153.881;0;T;True;3
1621252981000;11600055;153.871;153.891;153.881;0;T;True;3
1621252982000;11600056;153.871;153.891;153.881;0;T;True;3
