ts;n;bid;ask;value;volume;phase;round;active_id
1621232862000;11564667;153.966;153.986;153.976;0;T;True;3
1621232863000;11564668;153.966;153.986;153.976;0;T;True;3
1621232864000;11564669;153.966;153.986;153.976;0;T;True;3
1621232865000;11564670;153.966;153.986;153.976;0;T;True;3
1621232866000;11564671;153.966;153.986;153.976;0;T;True;3
1621232867000;11564672;153.966;153.986;153.976;0;T;True;3
1621232868000;11564677;153.975;153.995;153.985;4;T;True;3
1621232869000;11564678;153.975;153.995;153.985;0;T;True;3
1621232870000;11564680;153.973;153.993;153.983;1;T;True;3
1621232871000;11564681;153.973;153.993;153.983;0;T;True;3
1621232872000;11564682;153.973;153.993;153.983;0;T;True;3
1621232873000;11564685;153.979;153.999;153.989;2;T;True;3
1621232874000;11564687;153.977;153.997;153.987;1;T;True;3
1621232875000;11564692;153.969;153.989;153.979;4;T;True;3
1621232876000;11564694;153.971;153.991;153.981;1;T;True;3
1621232877000;11564696;153.969;153.989;153.979;1;T;True;3
1621232878000;11564700;153.964;153.984;153.974;3;T;True;3
1621232879000;11564703;153.964;153.984;153.974;2;T;True;3
1621232880000;11564704;153.964;153.984;153.974;0;T;True;3
1621232881000;11564705;153.964;153.984;153.974;0;T;True;3
1621232882000;11564707;153.965;153.985;153.975;1;T;True;3
1621232883000;11564708;153.965;153.985;153.975;0;T;True;3
1621232884000;11564714;153.969;153.989;153.979;5;T;True;3
1621232885000;11564716;153.971;153.991;153.981;1;T;True;3
1621232886000;11564719;153.974;153.994;153.984;2;T;True;3
1621232887000;11564720;153.974;153.994;153.984;0;T;True;3
1621232888000;11564721;153.974;153.994;153.984;0;T;True;3
1621232889000;11564727;153.981;154.001;153.991;5;T;True;3
1621232890000;11564728;153.981;154.001;153.991;0;T;True;3
1621232891000;11564729;153.981;154.001;153.991;0;T;True;3
1621232892000;11564732;153.975;153.995;153.985;2;T;True;3
1621232893000;11564733;153.975;153.995;153.985;0;T;True;3
1621232894000;11564734;153.975;153.995;153.985;0;T;True;3
1621232895000;11564738;153.977;153.997;153.987;3;T;True;3
1621232896000;11564739;153.977;153.997;153.987;0;T;True;3
1621232897000;11564740;153.977;153.997;153.987;0;T;True;3
1621232898000;11564741;153.977;153.997;153.987;0;T;True;3
1621232899000;11564742;153.977;153.997;153.987;0;T;True;3
1621232900000;11564743;153.977;153.997;153.987;0;T;True;3
1621232901000;11564744;153.977;153.997;153.987;0;T;True;3
1621232902000;11564745;153.977;153.997;153.987;0;T;True;3
1621232903000;11564747;153.978;153.998;153.988;1;T;True;3
1621232904000;11564748;153.978;153.998;153.988;0;T;True;3
