ts;n;bid;ask;value;volume;phase;round;active_id
1621215193000;11538245;154.036;154.056;154.046;1;T;True;3
1621215194000;11538246;154.036;154.056;154.046;0;T;True;3
1621215195000;11538247;154.036;154.056;154.046;0;T;True;3
1621215196000;11538248;154.036;154.056;154.046;0;T;True;3
1621215197000;11538250;154.035;154.055;154.045;1;T;True;3
1621215198000;11538253;154.037;154.057;154.047;2;T;True;3
1621215199000;11538254;154.037;154.057;154.047;0;T;True;3
1621215200000;11538256;154.036;154.056;154.046;1;T;True;3
1621215201000;11538257;154.036;154.056;154.046;0;T;True;3
1621215202000;11538260;154.037;154.057;154.047;2;T;True;3
1621215203000;11538262;154.035;154.055;154.045;1;T;True;3
1621215204000;11538263;154.035;154.055;154.045;0;T;True;3
1621215205000;11538267;154.04;154.06;154.05;3;T;True;3
1621215206000;11538269;154.041;154.061;154.051;1;T;True;3
1621215207000;11538272;154.041;154.061;154.051;2;T;True;3
1621215208000;11538275;154.043;154.063;154.053;2;T;True;3
1621215209000;11538277;154.045;154.065;154.055;1;T;True;3
1621215210000;11538280;154.049;154.069;154.059;2;T;True;3
1621215211000;11538281;154.049;154.069;154.059;0;T;True;3
1621215212000;11538282;154.049;154.069;154.059;0;T;True;3
1621215213000;11538283;154.049;154.069;154.059;0;T;True;3
1621215214000;11538286;154.047;154.067;154.057;2;T;True;3
1621215215000;11538287;154.047;154.067;154.057;0;T;True;3
1621215216000;11538288;154.047;154.067;154.057;0;T;True;3
1621215217000;11538290;154.045;154.065;154.055;1;T;True;3
1621215218000;11538291;154.045;154.065;154.055;0;T;True;3
1621215219000;11538293;154.046;154.066;154.056;1;T;True;3
1621215220000;11538294;154.046;154.066;154.056;0;T;True;3
1621215221000;11538296;154.047;154.067;154.057;1;T;True;3
1621215222000;11538298;154.046;154.066;154.056;1;T;True;3
1621215223000;11538299;154.046;154.066;154.056;0;T;True;3
1621215224000;11538300;154.046;154.066;154.056;0;T;True;3
1621215225000;11538301;154.046;154.066;154.056;0;T;True;3
1621215226000;11538303;154.045;154.065;154.055;1;T;True;3
1621215227000;11538304;154.045;154.065;154.055;0;T;True;3
1621215228000;11538305;154.045;154.065;154.055;0;T;True;3
