ts;n;bid;ask;value;volume;phase;round;active_id
1621263462000;14213119;1.2145;1.21456;1.21453;5;T;True;1
1621263463000;14213123;1.21449;1.21455;1.21452;3;T;True;1
1621263464000;14213127;1.21451;1.21457;1.21454;3;T;True;1
1621263465000;14213132;1.21449;1.21455;1.21452;4;T;True;1
1621263466000;14213140;1.21451;1.21457;1.21454;7;T;True;1
1621263467000;14213145;1.2145;1.21456;1.21453;4;T;True;1
1621263468000;14213154;1.21451;1.21457;1.21454;8;T;True;1
1621263469000;14213164;1.2145;1.21456;1.21453;9;T;True;1
1621263470000;14213166;1.2145;1.21456;1.21453;1;T;True;1
1621263471000;14213175;1.21448;1.21454;1.21451;8;T;True;1
1621263472000;14213179;1.21448;1.21454;1.21451;3;T;True;1
1621263473000;14213186;1.2145;1.21456;1.21453;6;T;True;1
1621263474000;14213188;1.2145;1.21456;1.21453;1;T;True;1
1621263475000;14213196;1.21448;1.21454;1.21451;7;T;True;1
1621263476000;14213199;1.21448;1.21454;1.21451;2;T;True;1
1621263477000;14213201;1.21448;1.21454;1.21451;1;T;True;1
1621263478000;14213215;1.2145;1.21456;1.21453;13;T;True;1
1621263479000;14213219;1.21449;1.21455;1.21452;3;T;True;1
1621263480000;14213224;1.21448;1.21454;1.21451;4;T;True;1
1621263481000;14213230;1.21447;1.21453;1.2145;5;T;True;1
1621263482000;14213235;1.2145;1.21456;1.21453;4;T;True;1
1621263483000;14213240;1.21448;1.21454;1.21451;4;T;True;1
1621263484000;14213255;1.21456;1.21462;1.21459;14;T;True;1
1621263485000;14213266;1.21457;1.21463;1.2146;10;T;True;1
1621263486000;14213272;1.2146;1.21466;1.21463;5;T;True;1
1621263487000;14213275;1.2146;1.21466;1.21463;2;T;True;1
1621263488000;14213277;1.2146;1.21466;1.21463;1;T;True;1
1621263489000;14213278;1.2146;1.21466;1.21463;0;T;True;1
1621263490000;14213281;1.2146;1.21466;1.21463;2;T;True;1
1621263491000;14213283;1.21461;1.21467;1.21464;1;T;True;1
1621263492000;14213292;1.21462;1.21468;1.21465;8;T;True;1
1621263493000;14213298;1.2146;1.21466;1.21463;5;T;True;1
1621263494000;14213300;1.2146;1.21466;1.21463;1;T;True;1
1621263495000;14213302;1.2146;1.21466;1.21463;1;T;True;1
1621263496000;14213308;1.21464;1.2147;1.21467;5;T;True;1
1621263497000;14213311;1.21462;1.21468;1.21465;2;T;True;1
1621263498000;14213316;1.21464;1.2147;1.21467;4;T;True;1
1621263499000;14213322;1.21471;1.21477;1.21474;5;T;True;1
1621263500000;14213329;1.21471;1.21477;1.21474;6;T;True;1
1621263501000;14213331;1.2147;1.21476;1.21473;1;T;True;1
1621263502000;14213333;1.21472;1.21478;1.21475;1;T;True;1
1621263503000;14213335;1.2147;1.21476;1.21473;1;T;True;1
1621263504000;14213338;1.21466;1.21472;1.21469;2;T;True;1
1621263505000;14213342;1.21468;1.21474;1.21471;3;T;True;1
1621263506000;14213345;1.21467;1.21473;1.2147;2;T;True;1
1621263507000;14213348;1.2147;1.21476;1.21473;2;T;True;1
1621263508000;14213353;1.21471;1.21477;1.21474;4;T;True;1
1621263509000;14213363;1.21471;1.21477;1.21474;9;T;True;1
1621263510000;14213370;1.21468;1.21474;1.21471;6;T;True;1
1621263511000;14213379;1.2147;1.21476;1.21473;8;T;True;1
1621263512000;14213380;1.2147;1.21476;1.21473;0;T;True;1
1621263513000;14213385;1.21469;1.21475;1.21472;4;T;True;1
1621263514000;14213393;1.21465;1.21471;1.21468;7;T;True;1
1621263515000;14213398;1.21465;1.21471;1.21468;4;T;True;1
1621263516000;14213401;1.21465;1.21471;1.21468;2;T;True;1
1621263517000;14213402;1.21465;1.21471;1.21468;0;T;True;1
1621263518000;14213405;1.21464;1.2147;1.21467;2;T;True;1
1621263519000;14213411;1.21464;1.2147;1.21467;5;T;True;1
1621263520000;14213415;1.21463;1.21469;1.21466;3;T;True;1
1621263521000;14213422;1.21464;1.2147;1.21467;6;T;True;1
1621263522000;14213425;1.21463;1.21469;1.21466;2;T;True;1
1621263523000;14213429;1.21462;1.21468;1.21465;3;T;True;1
1621263524000;14213438;1.21458;1.21464;1.21461;8;T;True;1
1621263525000;14213444;1.21458;1.21464;1.21461;5;T;True;1
1621263526000;14213454;1.21457;1.21463;1.2146;9;T;True;1
1621263527000;14213461;1.21456;1.21462;1.21459;6;T;True;1
1621263528000;14213464;1.21455;1.21461;1.21458;2;T;True;1
1621263529000;14213471;1.21454;1.2146;1.21457;6;T;True;1
1621263530000;14213482;1.21452;1.21458;1.21455;10;T;True;1
1621263531000;14213483;1.21452;1.21458;1.21455;0;T;True;1
1621263532000;14213492;1.21449;1.21455;1.21452;8;T;True;1
1621263533000;14213498;1.21448;1.21454;1.21451;5;T;True;1
1621263534000;14213506;1.21445;1.21451;1.21448;7;T;True;1
1621263535000;14213509;1.21444;1.2145;1.21447;2;T;True;1
1621263536000;14213513;1.21444;1.2145;1.21447;3;T;True;1
1621263537000;14213525;1.2144;1.21446;1.21443;11;T;True;1
1621263538000;14213530;1.2144;1.21446;1.21443;4;T;True;1
1621263539000;14213533;1.21442;1.21448;1.21445;2;T;True;1
1621263540000;14213540;1.21442;1.21448;1.21445;6;T;True;1
1621263541000;14213552;1.21448;1.21454;1.21451;11;T;True;1
1621263542000;14213556;1.21448;1.21454;1.21451;3;T;True;1
1621263543000;14213566;1.21444;1.2145;1.21447;9;T;True;1
1621263544000;14213577;1.21448;1.21454;1.21451;10;T;True;1
1621263545000;14213582;1.2145;1.21456;1.21453;4;T;True;1
1621263546000;14213588;1.2145;1.21456;1.21453;5;T;True;1
1621263547000;14213594;1.21452;1.21458;1.21455;5;T;True;1
1621263548000;14213602;1.21448;1.21454;1.21451;7;T;True;1
1621263549000;14213611;1.21449;1.21455;1.21452;8;T;True;1
1621263550000;14213623;1.21444;1.2145;1.21447;11;T;True;1
1621263551000;14213627;1.21444;1.2145;1.21447;3;T;True;1
1621263552000;14213639;1.21445;1.21451;1.21448;11;T;True;1
1621263553000;14213643;1.21446;1.21452;1.21449;3;T;True;1
1621263554000;14213655;1.2145;1.21456;1.21453;11;T;True;1
1621263555000;14213664;1.21446;1.21452;1.21449;8;T;True;1
1621263556000;14213672;1.2144;1.21446;1.21443;7;T;True;1
1621263557000;14213678;1.21442;1.21448;1.21445;5;T;True;1
1621263558000;14213684;1.21442;1.21448;1.21445;5;T;True;1
1621263559000;14213690;1.21444;1.2145;1.21447;5;T;True;1
1621263560000;14213696;1.2144;1.21446;1.21443;5;T;True;1
1621263561000;14213701;1.21444;1.2145;1.21447;4;T;True;1
1621263562000;14213703;1.21444;1.2145;1.21447;1;T;True;1
1621263563000;14213709;1.21444;1.2145;1.21447;5;T;True;1
1621263564000;14213712;1.21446;1.21452;1.21449;2;T;True;1
1621263565000;14213713;1.21446;1.21452;1.21449;0;T;True;1
1621263566000;14213714;1.21446;1.21452;1.21449;0;T;True;1
1621263567000;14213715;1.21446;1.21452;1.21449;0;T;True;1
1621263568000;14213716;1.21446;1.21452;1.21449;0;T;True;1
1621263569000;14213717;1.21446;1.21452;1.21449;0;T;True;1
1621263570000;14213718;1.21446;1.21452;1.21449;0;T;True;1
1621263571000;14213719;1.21446;1.21452;1.21449;0;T;True;1
1621263572000;14213725;1.2145;1.21456;1.21453;5;T;True;1
1621263573000;14213731;1.21448;1.21454;1.21451;5;T;True;1
1621263574000;14213733;1.21449;1.21455;1.21452;1;T;True;1
1621263575000;14213735;1.2145;1.21456;1.21453;1;T;True;1
1621263576000;14213737;1.2145;1.21456;1.21453;1;T;True;1
1621263577000;14213744;1.21452;1.21458;1.21455;6;T;True;1
1621263578000;14213747;1.21452;1.21458;1.21455;2;T;True;1
1621263579000;14213750;1.21452;1.21458;1.21455;2;T;True;1
1621263580000;14213755;1.21453;1.21459;1.21456;4;T;True;1
1621263581000;14213758;1.21453;1.21459;1.21456;2;T;True;1
1621263582000;14213762;1.21451;1.21457;1.21454;3;T;True;1
1621263583000;14213763;1.21451;1.21457;1.21454;0;T;True;1
1621263584000;14213764;1.21451;1.21457;1.21454;0;T;True;1
1621263585000;14213772;1.21446;1.21452;1.21449;7;T;True;1
1621263586000;14213777;1.21448;1.21454;1.21451;4;T;True;1
1621263587000;14213780;1.21449;1.21455;1.21452;2;T;True;1
1621263588000;14213790;1.2145;1.21456;1.21453;9;T;True;1
1621263589000;14213797;1.21446;1.21452;1.21449;6;T;True;1
1621263590000;14213799;1.21445;1.21451;1.21448;1;T;True;1
1621263591000;14213802;1.21444;1.2145;1.21447;2;T;True;1
1621263592000;14213805;1.21444;1.2145;1.21447;2;T;True;1
1621263593000;14213808;1.21444;1.2145;1.21447;2;T;True;1
1621263594000;14213818;1.21444;1.2145;1.21447;9;T;True;1
1621263595000;14213824;1.2144;1.21446;1.21443;5;T;True;1
1621263596000;14213830;1.21442;1.21448;1.21445;5;T;True;1
1621263597000;14213833;1.21444;1.2145;1.21447;2;T;True;1
1621263598000;14213840;1.21443;1.21449;1.21446;6;T;True;1
1621263599000;14213846;1.2144;1.21446;1.21443;5;T;True;1
1621263600000;14213848;1.2144;1.21446;1.21443;1;T;True;1
1621263601000;14213856;1.21442;1.21448;1.21445;7;T;True;1
1621263602000;14213858;1.21444;1.2145;1.21447;1;T;True;1
1621263603000;14213868;1.21435;1.21441;1.21438;9;T;True;1
1621263604000;14213870;1.21435;1.21441;1.21438;1;T;True;1
1621263605000;14213878;1.21443;1.21449;1.21446;7;T;True;1
1621263606000;14213883;1.21443;1.21449;1.21446;4;T;True;1
1621263607000;14213887;1.21443;1.21449;1.21446;3;T;True;1
1621263608000;14213892;1.21443;1.21449;1.21446;4;T;True;1
1621263609000;14213897;1.21441;1.21447;1.21444;4;T;True;1
1621263610000;14213899;1.21442;1.21448;1.21445;1;T;True;1
1621263611000;14213904;1.21446;1.21452;1.21449;4;T;True;1
1621263612000;14213906;1.21445;1.21451;1.21448;1;T;True;1
1621263613000;14213907;1.21445;1.21451;1.21448;0;T;True;1
1621263614000;14213909;1.21445;1.21451;1.21448;1;T;True;1
1621263615000;14213917;1.21448;1.21454;1.21451;7;T;True;1
1621263616000;14213921;1.21449;1.21455;1.21452;3;T;True;1
1621263617000;14213925;1.21449;1.21455;1.21452;3;T;True;1
1621263618000;14213930;1.2145;1.21456;1.21453;4;T;True;1
1621263619000;14213933;1.2145;1.21456;1.21453;2;T;True;1
1621263620000;14213935;1.2145;1.21456;1.21453;1;T;True;1
1621263621000;14213940;1.2145;1.21456;1.21453;4;T;True;1
1621263622000;14213942;1.2145;1.21456;1.21453;1;T;True;1
1621263623000;14213948;1.2145;1.21456;1.21453;5;T;True;1
1621263624000;14213949;1.2145;1.21456;1.21453;0;T;True;1
1621263625000;14213951;1.2145;1.21456;1.21453;1;T;True;1
1621263626000;14213959;1.21446;1.21452;1.21449;7;T;True;1
1621263627000;14213969;1.21446;1.21452;1.21449;9;T;True;1
1621263628000;14213971;1.21446;1.21452;1.21449;1;T;True;1
1621263629000;14213972;1.21446;1.21452;1.21449;0;T;True;1
1621263630000;14213979;1.21446;1.21452;1.21449;6;T;True;1
1621263631000;14213982;1.21447;1.21453;1.2145;2;T;True;1
1621263632000;14213983;1.21447;1.21453;1.2145;0;T;True;1
1621263633000;14213990;1.21441;1.21447;1.21444;6;T;True;1
1621263634000;14213998;1.2144;1.21446;1.21443;7;T;True;1
1621263635000;14214004;1.2144;1.21446;1.21443;5;T;True;1
1621263636000;14214008;1.2144;1.21446;1.21443;3;T;True;1
1621263637000;14214011;1.2144;1.21446;1.21443;2;T;True;1
1621263638000;14214013;1.2144;1.21446;1.21443;1;T;True;1
1621263639000;14214022;1.21434;1.2144;1.21437;8;T;True;1
1621263640000;14214024;1.21436;1.21442;1.21439;1;T;True;1
1621263641000;14214032;1.21438;1.21444;1.21441;7;T;True;1
1621263642000;14214037;1.2144;1.21446;1.21443;4;T;True;1
1621263643000;14214051;1.21445;1.21451;1.21448;13;T;True;1
1621263644000;14214058;1.2144;1.21446;1.21443;6;T;True;1
1621263645000;14214059;1.2144;1.21446;1.21443;0;T;True;1
1621263646000;14214066;1.21442;1.21448;1.21445;6;T;True;1
1621263647000;14214069;1.21442;1.21448;1.21445;2;T;True;1
1621263648000;14214070;1.21442;1.21448;1.21445;0;T;True;1
1621263649000;14214076;1.21442;1.21448;1.21445;5;T;True;1
1621263650000;14214082;1.21442;1.21448;1.21445;5;T;True;1
1621263651000;14214087;1.21444;1.2145;1.21447;4;T;True;1
