ts;n;bid;ask;value;volume;phase;round;active_id
1621261662000;14205203;1.2149;1.21496;1.21493;6;T;True;1
1621261663000;14205207;1.2149;1.21496;1.21493;3;T;True;1
1621261664000;14205210;1.21488;1.21494;1.21491;2;T;True;1
1621261665000;14205213;1.21486;1.21492;1.21489;2;T;True;1
1621261666000;14205216;1.21486;1.21492;1.21489;2;T;True;1
1621261667000;14205221;1.21486;1.21492;1.21489;4;T;True;1
1621261668000;14205222;1.21486;1.21492;1.21489;0;T;True;1
1621261669000;14205228;1.2149;1.21496;1.21493;5;T;True;1
1621261670000;14205229;1.2149;1.21496;1.21493;0;T;True;1
1621261671000;14205237;1.21492;1.21498;1.21495;7;T;True;1
1621261672000;14205239;1.21496;1.21502;1.21499;1;T;True;1
1621261673000;14205240;1.21496;1.21502;1.21499;0;T;True;1
1621261674000;14205241;1.21496;1.21502;1.21499;0;T;True;1
1621261675000;14205242;1.21496;1.21502;1.21499;0;T;True;1
1621261676000;14205243;1.21496;1.21502;1.21499;0;T;True;1
1621261677000;14205249;1.21496;1.21502;1.21499;5;T;True;1
1621261678000;14205254;1.21497;1.21503;1.215;4;T;True;1
1621261679000;14205257;1.21496;1.21502;1.21499;2;T;True;1
1621261680000;14205258;1.21496;1.21502;1.21499;0;T;True;1
1621261681000;14205260;1.21496;1.21502;1.21499;1;T;True;1
1621261682000;14205261;1.21496;1.21502;1.21499;0;T;True;1
1621261683000;14205265;1.21501;1.21507;1.21504;3;T;True;1
1621261684000;14205277;1.21506;1.21512;1.21509;11;T;True;1
1621261685000;14205279;1.21506;1.21512;1.21509;1;T;True;1
1621261686000;14205281;1.21505;1.21511;1.21508;1;T;True;1
1621261687000;14205288;1.21502;1.21508;1.21505;6;T;True;1
1621261688000;14205290;1.21502;1.21508;1.21505;1;T;True;1
1621261689000;14205294;1.21506;1.21512;1.21509;3;T;True;1
1621261690000;14205295;1.21506;1.21512;1.21509;0;T;True;1
1621261691000;14205296;1.21506;1.21512;1.21509;0;T;True;1
1621261692000;14205300;1.21505;1.21511;1.21508;3;T;True;1
1621261693000;14205310;1.21505;1.21511;1.21508;9;T;True;1
1621261694000;14205320;1.21504;1.2151;1.21507;9;T;True;1
1621261695000;14205321;1.21504;1.2151;1.21507;0;T;True;1
1621261696000;14205324;1.21504;1.2151;1.21507;2;T;True;1
1621261697000;14205329;1.21505;1.21511;1.21508;4;T;True;1
1621261698000;14205337;1.21514;1.2152;1.21517;7;T;True;1
1621261699000;14205340;1.21512;1.21518;1.21515;2;T;True;1
1621261700000;14205343;1.21512;1.21518;1.21515;2;T;True;1
1621261701000;14205344;1.21512;1.21518;1.21515;0;T;True;1
1621261702000;14205348;1.21508;1.21514;1.21511;3;T;True;1
1621261703000;14205350;1.21509;1.21515;1.21512;1;T;True;1
1621261704000;14205353;1.2151;1.21516;1.21513;2;T;True;1
1621261705000;14205355;1.2151;1.21516;1.21513;1;T;True;1
1621261706000;14205361;1.21509;1.21515;1.21512;5;T;True;1
1621261707000;14205363;1.2151;1.21516;1.21513;1;T;True;1
