ts;n;bid;ask;value;volume;phase;round;active_id
1621245462000;14157895;1.21562;1.21568;1.21565;2;T;True;1
1621245463000;14157896;1.21562;1.21568;1.21565;0;T;True;1
1621245464000;14157897;1.21562;1.21568;1.21565;0;T;True;1
1621245465000;14157898;1.21562;1.21568;1.21565;0;T;True;1
1621245466000;14157900;1.21561;1.21567;1.21564;1;T;True;1
1621245467000;14157909;1.21558;1.21564;1.21561;8;T;True;1
1621245468000;14157912;1.21558;1.21564;1.21561;2;T;True;1
1621245469000;14157913;1.21558;1.21564;1.21561;0;T;True;1
1621245470000;14157915;1.21558;1.21564;1.21561;1;T;True;1
1621245471000;14157922;1.21562;1.21568;1.21565;6;T;True;1
1621245472000;14157924;1.21562;1.21568;1.21565;1;T;True;1
1621245473000;14157927;1.2156;1.21566;1.21563;2;T;True;1
1621245474000;14157928;1.2156;1.21566;1.21563;0;T;True;1
1621245475000;14157930;1.2156;1.21566;1.21563;1;T;True;1
1621245476000;14157931;1.2156;1.21566;1.21563;0;T;True;1
1621245477000;14157932;1.2156;1.21566;1.21563;0;T;True;1
1621245478000;14157933;1.2156;1.21566;1.21563;0;T;True;1
1621245479000;14157934;1.2156;1.21566;1.21563;0;T;True;1
1621245480000;14157935;1.2156;1.21566;1.21563;0;T;True;1
1621245481000;14157936;1.2156;1.21566;1.21563;0;T;True;1
1621245482000;14157942;1.21556;1.21562;1.21559;5;T;True;1
1621245483000;14157947;1.21558;1.21564;1.21561;4;T;True;1
1621245484000;14157952;1.21561;1.21567;1.21564;4;T;True;1
1621245485000;14157953;1.21561;1.21567;1.21564;0;T;True;1
1621245486000;14157957;1.2156;1.21566;1.21563;3;T;True;1
1621245487000;14157959;1.2156;1.21566;1.21563;1;T;True;1
1621245488000;14157960;1.2156;1.21566;1.21563;0;T;True;1
1621245489000;14157968;1.21562;1.21568;1.21565;7;T;True;1
1621245490000;14157969;1.21562;1.21568;1.21565;0;T;True;1
1621245491000;14157971;1.21561;1.21567;1.21564;1;T;True;1
1621245492000;14157972;1.21561;1.21567;1.21564;0;T;True;1
1621245493000;14157974;1.2156;1.21566;1.21563;1;T;True;1
1621245494000;14157975;1.2156;1.21566;1.21563;0;T;True;1
1621245495000;14157983;1.21557;1.21563;1.2156;7;T;True;1
1621245496000;14157989;1.21556;1.21562;1.21559;5;T;True;1
1621245497000;14157996;1.21554;1.2156;1.21557;6;T;True;1
1621245498000;14158004;1.21556;1.21562;1.21559;7;T;True;1
1621245499000;14158008;1.21556;1.21562;1.21559;3;T;True;1
