ts;n;bid;ask;value;volume;phase;round;active_id
1621232862000;14125225;1.21348;1.21354;1.21351;0;T;True;1
1621232863000;14125226;1.21348;1.21354;1.21351;0;T;True;1
1621232864000;14125227;1.21348;1.21354;1.21351;0;T;True;1
1621232865000;14125228;1.21348;1.21354;1.21351;0;T;True;1
1621232866000;14125229;1.21348;1.21354;1.21351;0;T;True;1
1621232867000;14125231;1.21348;1.21354;1.21351;1;T;True;1
1621232868000;14125232;1.21348;1.21354;1.21351;0;T;True;1
1621232869000;14125234;1.21348;1.21354;1.21351;1;T;True;1
1621232870000;14125235;1.21348;1.21354;1.21351;0;T;True;1
1621232871000;14125236;1.21348;1.21354;1.21351;0;T;True;1
1621232872000;14125237;1.21348;1.21354;1.21351;0;T;True;1
1621232873000;14125238;1.21348;1.21354;1.21351;0;T;True;1
1621232874000;14125240;1.21348;1.21354;1.21351;1;T;True;1
1621232875000;14125247;1.21344;1.2135;1.21347;6;T;True;1
1621232876000;14125249;1.21344;1.2135;1.21347;1;T;True;1
1621232877000;14125250;1.21344;1.2135;1.21347;0;T;True;1
1621232878000;14125251;1.21344;1.2135;1.21347;0;T;True;1
1621232879000;14125252;1.21344;1.2135;1.21347;0;T;True;1
1621232880000;14125253;1.21344;1.2135;1.21347;0;T;True;1
1621232881000;14125254;1.21344;1.2135;1.21347;0;T;True;1
1621232882000;14125258;1.21346;1.21352;1.21349;3;T;True;1
1621232883000;14125260;1.21346;1.21352;1.21349;1;T;True;1
1621232884000;14125269;1.2135;1.21356;1.21353;8;T;True;1
1621232885000;14125272;1.2135;1.21356;1.21353;2;T;True;1
1621232886000;14125273;1.2135;1.21356;1.21353;0;T;True;1
1621232887000;14125274;1.2135;1.21356;1.21353;0;T;True;1
1621232888000;14125275;1.2135;1.21356;1.21353;0;T;True;1
1621232889000;14125280;1.21352;1.21358;1.21355;4;T;True;1
1621232890000;14125281;1.21352;1.21358;1.21355;0;T;True;1
1621232891000;14125282;1.21352;1.21358;1.21355;0;T;True;1
1621232892000;14125289;1.21353;1.21359;1.21356;6;T;True;1
1621232893000;14125294;1.21354;1.2136;1.21357;4;T;True;1
1621232894000;14125295;1.21354;1.2136;1.21357;0;T;True;1
1621232895000;14125297;1.21354;1.2136;1.21357;1;T;True;1
1621232896000;14125300;1.21354;1.2136;1.21357;2;T;True;1
1621232897000;14125301;1.21354;1.2136;1.21357;0;T;True;1
1621232898000;14125304;1.21354;1.2136;1.21357;2;T;True;1
1621232899000;14125305;1.21354;1.2136;1.21357;0;T;True;1
1621232900000;14125310;1.21354;1.2136;1.21357;4;T;True;1
1621232901000;14125315;1.21353;1.21359;1.21356;4;T;True;1
1621232902000;14125316;1.21353;1.21359;1.21356;0;T;True;1
1621232903000;14125317;1.21353;1.21359;1.21356;0;T;True;1
1621232904000;14125319;1.21352;1.21358;1.21355;1;T;True;1
1621232905000;14125320;1.21352;1.21358;1.21355;0;T;True;1
1621232906000;14125321;1.21352;1.21358;1.21355;0;T;True;1
1621232907000;14125323;1.21352;1.21358;1.21355;1;T;True;1
1621232908000;14125324;1.21352;1.21358;1.21355;0;T;True;1
1621232909000;14125326;1.21352;1.21358;1.21355;1;T;True;1
1621232910000;14125327;1.21352;1.21358;1.21355;0;T;True;1
1621232911000;14125329;1.21352;1.21358;1.21355;1;T;True;1
1621232912000;14125330;1.21352;1.21358;1.21355;0;T;True;1
1621232913000;14125331;1.21352;1.21358;1.21355;0;T;True;1
1621232914000;14125332;1.21352;1.21358;1.21355;0;T;True;1
1621232915000;14125333;1.21352;1.21358;1.21355;0;T;True;1
1621232916000;14125336;1.21353;1.21359;1.21356;2;T;True;1
1621232917000;14125337;1.21353;1.21359;1.21356;0;T;True;1
1621232918000;14125338;1.21353;1.21359;1.21356;0;T;True;1
1621232919000;14125343;1.21353;1.21359;1.21356;4;T;True;1
1621232920000;14125346;1.21352;1.21358;1.21355;2;T;True;1
1621232921000;14125347;1.21352;1.21358;1.21355;0;T;True;1
1621232922000;14125348;1.21352;1.21358;1.21355;0;T;True;1
1621232923000;14125349;1.21352;1.21358;1.21355;0;T;True;1
1621232924000;14125350;1.21352;1.21358;1.21355;0;T;True;1
1621232925000;14125352;1.21352;1.21358;1.21355;1;T;True;1
1621232926000;14125356;1.2135;1.21356;1.21353;3;T;True;1
1621232927000;14125363;1.21343;1.21349;1.21346;6;T;True;1
1621232928000;14125364;1.21343;1.21349;1.21346;0;T;True;1
1621232929000;14125365;1.21343;1.21349;1.21346;0;T;True;1
1621232930000;14125366;1.21343;1.21349;1.21346;0;T;True;1
1621232931000;14125372;1.21346;1.21352;1.21349;5;T;True;1
1621232932000;14125377;1.21344;1.2135;1.21347;4;T;True;1
1621232933000;14125378;1.21344;1.2135;1.21347;0;T;True;1
1621232934000;14125381;1.21344;1.2135;1.21347;2;T;True;1
1621232935000;14125386;1.21341;1.21347;1.21344;4;T;True;1
1621232936000;14125387;1.21341;1.21347;1.21344;0;T;True;1
1621232937000;14125389;1.2134;1.21346;1.21343;1;T;True;1
1621232938000;14125390;1.2134;1.21346;1.21343;0;T;True;1
1621232939000;14125392;1.2134;1.21346;1.21343;1;T;True;1
1621232940000;14125396;1.21343;1.21349;1.21346;3;T;True;1
1621232941000;14125401;1.21341;1.21347;1.21344;4;T;True;1
1621232942000;14125405;1.21341;1.21347;1.21344;3;T;True;1
1621232943000;14125406;1.21341;1.21347;1.21344;0;T;True;1
1621232944000;14125408;1.21341;1.21347;1.21344;1;T;True;1
1621232945000;14125410;1.21341;1.21347;1.21344;1;T;True;1
1621232946000;14125414;1.21342;1.21348;1.21345;3;T;True;1
1621232947000;14125419;1.21344;1.2135;1.21347;4;T;True;1
1621232948000;14125422;1.21341;1.21347;1.21344;2;T;True;1
1621232949000;14125425;1.21342;1.21348;1.21345;2;T;True;1
1621232950000;14125426;1.21342;1.21348;1.21345;0;T;True;1
1621232951000;14125427;1.21342;1.21348;1.21345;0;T;True;1
1621232952000;14125428;1.21342;1.21348;1.21345;0;T;True;1
1621232953000;14125434;1.2134;1.21346;1.21343;5;T;True;1
1621232954000;14125435;1.2134;1.21346;1.21343;0;T;True;1
1621232955000;14125439;1.21336;1.21342;1.21339;3;T;True;1
1621232956000;14125440;1.21336;1.21342;1.21339;0;T;True;1
1621232957000;14125441;1.21336;1.21342;1.21339;0;T;True;1
1621232958000;14125442;1.21336;1.21342;1.21339;0;T;True;1
1621232959000;14125443;1.21336;1.21342;1.21339;0;T;True;1
1621232960000;14125444;1.21336;1.21342;1.21339;0;T;True;1
1621232961000;14125445;1.21336;1.21342;1.21339;0;T;True;1
1621232962000;14125446;1.21336;1.21342;1.21339;0;T;True;1
1621232963000;14125447;1.21336;1.21342;1.21339;0;T;True;1
1621232964000;14125448;1.21336;1.21342;1.21339;0;T;True;1
1621232965000;14125449;1.21336;1.21342;1.21339;0;T;True;1
1621232966000;14125450;1.21336;1.21342;1.21339;0;T;True;1
