ts;n;bid;ask;value;volume;phase;round;active_id
1621234662000;14129959;1.21393;1.21399;1.21396;1;T;True;1
1621234663000;14129961;1.21392;1.21398;1.21395;1;T;True;1
1621234664000;14129963;1.21393;1.21399;1.21396;1;T;True;1
1621234665000;14129967;1.2139;1.21396;1.21393;3;T;True;1
1621234666000;14129968;1.2139;1.21396;1.21393;0;T;True;1
1621234667000;14129970;1.21387;1.21393;1.2139;1;T;True;1
1621234668000;14129977;1.21384;1.2139;1.21387;6;T;True;1
1621234669000;14129980;1.21384;1.2139;1.21387;2;T;True;1
1621234670000;14129981;1.21384;1.2139;1.21387;0;T;True;1
1621234671000;14129982;1.21384;1.2139;1.21387;0;T;True;1
1621234672000;14129983;1.21384;1.2139;1.21387;0;T;True;1
1621234673000;14129984;1.21384;1.2139;1.21387;0;T;True;1
1621234674000;14129989;1.2138;1.21386;1.21383;4;T;True;1
1621234675000;14129991;1.2138;1.21386;1.21383;1;T;True;1
1621234676000;14129994;1.21378;1.21384;1.21381;2;T;True;1
1621234677000;14130001;1.21373;1.21379;1.21376;6;T;True;1
1621234678000;14130006;1.21374;1.2138;1.21377;4;T;True;1
1621234679000;14130007;1.21374;1.2138;1.21377;0;T;True;1
1621234680000;14130008;1.21374;1.2138;1.21377;0;T;True;1
1621234681000;14130010;1.21375;1.21381;1.21378;1;T;True;1
1621234682000;14130011;1.21375;1.21381;1.21378;0;T;True;1
1621234683000;14130012;1.21375;1.21381;1.21378;0;T;True;1
1621234684000;14130013;1.21375;1.21381;1.21378;0;T;True;1
1621234685000;14130015;1.21375;1.21381;1.21378;1;T;True;1
1621234686000;14130017;1.21374;1.2138;1.21377;1;T;True;1
1621234687000;14130018;1.21374;1.2138;1.21377;0;T;True;1
1621234688000;14130019;1.21374;1.2138;1.21377;0;T;True;1
1621234689000;14130022;1.21374;1.2138;1.21377;2;T;True;1
1621234690000;14130023;1.21374;1.2138;1.21377;0;T;True;1
1621234691000;14130026;1.21373;1.21379;1.21376;2;T;True;1
1621234692000;14130027;1.21373;1.21379;1.21376;0;T;True;1
1621234693000;14130028;1.21373;1.21379;1.21376;0;T;True;1
1621234694000;14130046;1.21386;1.21392;1.21389;17;T;True;1
1621234695000;14130052;1.21383;1.21389;1.21386;5;T;True;1
1621234696000;14130053;1.21383;1.21389;1.21386;0;T;True;1
1621234697000;14130055;1.21384;1.2139;1.21387;1;T;True;1
1621234698000;14130057;1.21383;1.21389;1.21386;1;T;True;1
1621234699000;14130058;1.21383;1.21389;1.21386;0;T;True;1
1621234700000;14130060;1.21382;1.21388;1.21385;1;T;True;1
1621234701000;14130061;1.21382;1.21388;1.21385;0;T;True;1
1621234702000;14130062;1.21382;1.21388;1.21385;0;T;True;1
1621234703000;14130068;1.21378;1.21384;1.21381;5;T;True;1
1621234704000;14130073;1.21378;1.21384;1.21381;4;T;True;1
1621234705000;14130074;1.21378;1.21384;1.21381;0;T;True;1
1621234706000;14130083;1.21378;1.21384;1.21381;8;T;True;1
1621234707000;14130085;1.21378;1.21384;1.21381;1;T;True;1
1621234708000;14130088;1.21377;1.21383;1.2138;2;T;True;1
1621234709000;14130089;1.21377;1.21383;1.2138;0;T;True;1
1621234710000;14130092;1.21375;1.21381;1.21378;2;T;True;1
1621234711000;14130095;1.21376;1.21382;1.21379;2;T;True;1
1621234712000;14130100;1.21375;1.21381;1.21378;4;T;True;1
1621234713000;14130102;1.21376;1.21382;1.21379;1;T;True;1
1621234714000;14130103;1.21376;1.21382;1.21379;0;T;True;1
1621234715000;14130108;1.21374;1.2138;1.21377;4;T;True;1
1621234716000;14130115;1.21375;1.21381;1.21378;6;T;True;1
1621234717000;14130118;1.21375;1.21381;1.21378;2;T;True;1
1621234718000;14130122;1.21376;1.21382;1.21379;3;T;True;1
1621234719000;14130124;1.21375;1.21381;1.21378;1;T;True;1
1621234720000;14130126;1.21376;1.21382;1.21379;1;T;True;1
1621234721000;14130129;1.21375;1.21381;1.21378;2;T;True;1
1621234722000;14130133;1.21375;1.21381;1.21378;3;T;True;1
1621234723000;14130134;1.21375;1.21381;1.21378;0;T;True;1
1621234724000;14130136;1.21374;1.2138;1.21377;1;T;True;1
1621234725000;14130140;1.21375;1.21381;1.21378;3;T;True;1
1621234726000;14130141;1.21375;1.21381;1.21378;0;T;True;1
1621234727000;14130145;1.21372;1.21378;1.21375;3;T;True;1
1621234728000;14130149;1.21372;1.21378;1.21375;3;T;True;1
1621234729000;14130151;1.21372;1.21378;1.21375;1;T;True;1
1621234730000;14130153;1.21372;1.21378;1.21375;1;T;True;1
1621234731000;14130155;1.21374;1.2138;1.21377;1;T;True;1
1621234732000;14130156;1.21374;1.2138;1.21377;0;T;True;1
1621234733000;14130157;1.21374;1.2138;1.21377;0;T;True;1
1621234734000;14130158;1.21374;1.2138;1.21377;0;T;True;1
1621234735000;14130167;1.21374;1.2138;1.21377;8;T;True;1
1621234736000;14130173;1.21378;1.21384;1.21381;5;T;True;1
1621234737000;14130175;1.21378;1.21384;1.21381;1;T;True;1
1621234738000;14130178;1.21377;1.21383;1.2138;2;T;True;1
1621234739000;14130180;1.21378;1.21384;1.21381;1;T;True;1
1621234740000;14130181;1.21378;1.21384;1.21381;0;T;True;1
1621234741000;14130186;1.21374;1.2138;1.21377;4;T;True;1
1621234742000;14130187;1.21374;1.2138;1.21377;0;T;True;1
1621234743000;14130190;1.21376;1.21382;1.21379;2;T;True;1
1621234744000;14130191;1.21376;1.21382;1.21379;0;T;True;1
1621234745000;14130197;1.21376;1.21382;1.21379;5;T;True;1
1621234746000;14130199;1.21376;1.21382;1.21379;1;T;True;1
1621234747000;14130202;1.21376;1.21382;1.21379;2;T;True;1
1621234748000;14130203;1.21376;1.21382;1.21379;0;T;True;1
1621234749000;14130205;1.21376;1.21382;1.21379;1;T;True;1
1621234750000;14130208;1.21374;1.2138;1.21377;2;T;True;1
1621234751000;14130209;1.21374;1.2138;1.21377;0;T;True;1
1621234752000;14130210;1.21374;1.2138;1.21377;0;T;True;1
1621234753000;14130211;1.21374;1.2138;1.21377;0;T;True;1
1621234754000;14130212;1.21374;1.2138;1.21377;0;T;True;1
1621234755000;14130213;1.21374;1.2138;1.21377;0;T;True;1
1621234756000;14130214;1.21374;1.2138;1.21377;0;T;True;1
1621234757000;14130215;1.21374;1.2138;1.21377;0;T;True;1
1621234758000;14130216;1.21374;1.2138;1.21377;0;T;True;1
1621234759000;14130219;1.21371;1.21377;1.21374;2;T;True;1
1621234760000;14130221;1.2137;1.21376;1.21373;1;T;True;1
1621234761000;14130222;1.2137;1.21376;1.21373;0;T;True;1
1621234762000;14130224;1.21372;1.21378;1.21375;1;T;True;1
1621234763000;14130225;1.21372;1.21378;1.21375;0;T;True;1
1621234764000;14130226;1.21372;1.21378;1.21375;0;T;True;1
1621234765000;14130227;1.21372;1.21378;1.21375;0;T;True;1
1621234766000;14130228;1.21372;1.21378;1.21375;0;T;True;1
1621234767000;14130229;1.21372;1.21378;1.21375;0;T;True;1
1621234768000;14130231;1.21372;1.21378;1.21375;1;T;True;1
1621234769000;14130232;1.21372;1.21378;1.21375;0;T;True;1
1621234770000;14130235;1.21374;1.2138;1.21377;2;T;True;1
1621234771000;14130236;1.21374;1.2138;1.21377;0;T;True;1
1621234772000;14130237;1.21374;1.2138;1.21377;0;T;True;1
1621234773000;14130238;1.21374;1.2138;1.21377;0;T;True;1
1621234774000;14130240;1.21376;1.21382;1.21379;1;T;True;1
1621234775000;14130241;1.21376;1.21382;1.21379;0;T;True;1
1621234776000;14130251;1.21382;1.21388;1.21385;9;T;True;1
1621234777000;14130255;1.2138;1.21386;1.21383;3;T;True;1
1621234778000;14130263;1.21382;1.21388;1.21385;7;T;True;1
1621234779000;14130266;1.21382;1.21388;1.21385;2;T;True;1
