ts;n;bid;ask;value;volume;phase;round;active_id
1621238262000;14140604;1.21351;1.21357;1.21354;1;T;True;1
1621238263000;14140608;1.21352;1.21358;1.21355;3;T;True;1
1621238264000;14140609;1.21352;1.21358;1.21355;0;T;True;1
1621238265000;14140612;1.21353;1.21359;1.21356;2;T;True;1
1621238266000;14140613;1.21353;1.21359;1.21356;0;T;True;1
1621238267000;14140616;1.21352;1.21358;1.21355;2;T;True;1
1621238268000;14140619;1.21352;1.21358;1.21355;2;T;True;1
1621238269000;14140620;1.21352;1.21358;1.21355;0;T;True;1
1621238270000;14140622;1.21352;1.21358;1.21355;1;T;True;1
1621238271000;14140624;1.21352;1.21358;1.21355;1;T;True;1
1621238272000;14140627;1.21351;1.21357;1.21354;2;T;True;1
1621238273000;14140630;1.21352;1.21358;1.21355;2;T;True;1
1621238274000;14140631;1.21352;1.21358;1.21355;0;T;True;1
1621238275000;14140632;1.21352;1.21358;1.21355;0;T;True;1
1621238276000;14140633;1.21352;1.21358;1.21355;0;T;True;1
1621238277000;14140640;1.21354;1.2136;1.21357;6;T;True;1
1621238278000;14140645;1.21354;1.2136;1.21357;4;T;True;1
1621238279000;14140646;1.21354;1.2136;1.21357;0;T;True;1
1621238280000;14140647;1.21354;1.2136;1.21357;0;T;True;1
1621238281000;14140650;1.21354;1.2136;1.21357;2;T;True;1
1621238282000;14140659;1.21354;1.2136;1.21357;8;T;True;1
1621238283000;14140660;1.21354;1.2136;1.21357;0;T;True;1
1621238284000;14140661;1.21354;1.2136;1.21357;0;T;True;1
1621238285000;14140668;1.21358;1.21364;1.21361;6;T;True;1
1621238286000;14140673;1.21359;1.21365;1.21362;4;T;True;1
1621238287000;14140678;1.21362;1.21368;1.21365;4;T;True;1
1621238288000;14140682;1.21364;1.2137;1.21367;3;T;True;1
1621238289000;14140684;1.21363;1.21369;1.21366;1;T;True;1
1621238290000;14140685;1.21363;1.21369;1.21366;0;T;True;1
1621238291000;14140686;1.21363;1.21369;1.21366;0;T;True;1
1621238292000;14140692;1.21361;1.21367;1.21364;5;T;True;1
1621238293000;14140697;1.21359;1.21365;1.21362;4;T;True;1
1621238294000;14140702;1.21354;1.2136;1.21357;4;T;True;1
1621238295000;14140710;1.21354;1.2136;1.21357;7;T;True;1
1621238296000;14140711;1.21354;1.2136;1.21357;0;T;True;1
1621238297000;14140712;1.21354;1.2136;1.21357;0;T;True;1
1621238298000;14140713;1.21354;1.2136;1.21357;0;T;True;1
1621238299000;14140715;1.21354;1.2136;1.21357;1;T;True;1
1621238300000;14140716;1.21354;1.2136;1.21357;0;T;True;1
1621238301000;14140717;1.21354;1.2136;1.21357;0;T;True;1
1621238302000;14140718;1.21354;1.2136;1.21357;0;T;True;1
1621238303000;14140724;1.21355;1.21361;1.21358;5;T;True;1
1621238304000;14140728;1.21356;1.21362;1.21359;3;T;True;1
1621238305000;14140733;1.21359;1.21365;1.21362;4;T;True;1
1621238306000;14140743;1.21363;1.21369;1.21366;9;T;True;1
1621238307000;14140747;1.21364;1.2137;1.21367;3;T;True;1
1621238308000;14140749;1.21365;1.21371;1.21368;1;T;True;1
1621238309000;14140757;1.21365;1.21371;1.21368;7;T;True;1
1621238310000;14140758;1.21365;1.21371;1.21368;0;T;True;1
1621238311000;14140763;1.21364;1.2137;1.21367;4;T;True;1
1621238312000;14140764;1.21364;1.2137;1.21367;0;T;True;1
1621238313000;14140766;1.21365;1.21371;1.21368;1;T;True;1
1621238314000;14140768;1.21364;1.2137;1.21367;1;T;True;1
1621238315000;14140770;1.21364;1.2137;1.21367;1;T;True;1
1621238316000;14140771;1.21364;1.2137;1.21367;0;T;True;1
1621238317000;14140773;1.21365;1.21371;1.21368;1;T;True;1
1621238318000;14140777;1.21368;1.21374;1.21371;3;T;True;1
1621238319000;14140778;1.21368;1.21374;1.21371;0;T;True;1
1621238320000;14140781;1.21368;1.21374;1.21371;2;T;True;1
