ts;n;bid;ask;value;volume;phase;round;active_id
1621238262000;11517291;0.86092;0.86104;0.86098;5;T;True;2
1621238263000;11517297;0.86095;0.86107;0.86101;5;T;True;2
1621238264000;11517298;0.86095;0.86107;0.86101;0;T;True;2
1621238265000;11517300;0.86095;0.86107;0.86101;1;T;True;2
1621238266000;11517303;0.86095;0.86107;0.86101;2;T;True;2
1621238267000;11517304;0.86095;0.86107;0.86101;0;T;True;2
1621238268000;11517306;0.86097;0.86109;0.86103;1;T;True;2
1621238269000;11517307;0.86097;0.86109;0.86103;0;T;True;2
1621238270000;11517309;0.86097;0.86109;0.86103;1;T;True;2
1621238271000;11517311;0.86097;0.86109;0.86103;1;T;True;2
1621238272000;11517312;0.86097;0.86109;0.86103;0;T;True;2
1621238273000;11517313;0.86097;0.86109;0.86103;0;T;True;2
1621238274000;11517314;0.86097;0.86109;0.86103;0;T;True;2
1621238275000;11517315;0.86097;0.86109;0.86103;0;T;True;2
1621238276000;11517316;0.86097;0.86109;0.86103;0;T;True;2
1621238277000;11517321;0.86101;0.86113;0.86107;4;T;True;2
1621238278000;11517324;0.86103;0.86115;0.86109;2;T;True;2
1621238279000;11517325;0.86103;0.86115;0.86109;0;T;True;2
1621238280000;11517326;0.86103;0.86115;0.86109;0;T;True;2
1621238281000;11517329;0.86097;0.86109;0.86103;2;T;True;2
1621238282000;11517335;0.86097;0.86109;0.86103;5;T;True;2
1621238283000;11517336;0.86097;0.86109;0.86103;0;T;True;2
1621238284000;11517337;0.86097;0.86109;0.86103;0;T;True;2
1621238285000;11517340;0.86099;0.86111;0.86105;2;T;True;2
1621238286000;11517343;0.861;0.86112;0.86106;2;T;True;2
1621238287000;11517344;0.861;0.86112;0.86106;0;T;True;2
1621238288000;11517345;0.861;0.86112;0.86106;0;T;True;2
1621238289000;11517347;0.86099;0.86111;0.86105;1;T;True;2
1621238290000;11517348;0.86099;0.86111;0.86105;0;T;True;2
1621238291000;11517349;0.86099;0.86111;0.86105;0;T;True;2
1621238292000;11517354;0.86099;0.86111;0.86105;4;T;True;2
1621238293000;11517357;0.86097;0.86109;0.86103;2;T;True;2
1621238294000;11517358;0.86097;0.86109;0.86103;0;T;True;2
1621238295000;11517361;0.86095;0.86107;0.86101;2;T;True;2
1621238296000;11517362;0.86095;0.86107;0.86101;0;T;True;2
1621238297000;11517363;0.86095;0.86107;0.86101;0;T;True;2
1621238298000;11517364;0.86095;0.86107;0.86101;0;T;True;2
1621238299000;11517367;0.86097;0.86109;0.86103;2;T;True;2
1621238300000;11517368;0.86097;0.86109;0.86103;0;T;True;2
1621238301000;11517369;0.86097;0.86109;0.86103;0;T;True;2
1621238302000;11517370;0.86097;0.86109;0.86103;0;T;True;2
1621238303000;11517371;0.86097;0.86109;0.86103;0;T;True;2
1621238304000;11517374;0.86099;0.86111;0.86105;2;T;True;2
1621238305000;11517377;0.86101;0.86113;0.86107;2;T;True;2
1621238306000;11517381;0.86102;0.86114;0.86108;3;T;True;2
